,Label,Source,demand,electricity,facility,gas,just,need,new,plant,power,report,said,solar,state,time,wind
0,risk,CNET,0.0,0.0,0.0,0.0,0.26981814566999957,0.24753434530663457,0.7426030359199037,0.0,0.0,0.0,0.24238591595379888,0.0,0.5056824249967551,0.0,0.0
1,risk,BBC News,0.0,0.0,0.37654681519165384,0.0,0.3200369935454672,0.0,0.293605707927705,0.3063947433610224,0.5085090197005966,0.0,0.0,0.0,0.0,0.5631388329067208,0.0
2,risk,Vox,0.0,0.0,0.0,0.0,0.4294200665388019,0.19697751381446948,0.49244378453617377,0.0,0.17057713754924744,0.0,0.0964403041708786,0.0,0.7042017413028069,0.0,0.0
3,risk,Energycentral.com,0.0,0.11777667349016846,0.03925889116338949,0.0,0.033367159117957054,0.0612228496826717,0.15305712420667925,0.31944813758476975,0.8217683473778229,0.16516639074463463,0.3297221669820989,0.0,0.1876062030163585,0.08806955174900583,0.0
4,risk,Naturalnews.com,0.21657776202069232,0.23925426465004532,0.17742451086407857,0.18881607342400428,0.10890947563424036,0.11458764397496998,0.1285617468987468,0.2282207326614241,0.2232669701267973,0.2808590021624407,0.20730438375789723,0.5143721847991443,0.2012590641776093,0.1574645479250751,0.4832514974182279
5,risk,BroBible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412455089662911,0.4491399234899732,0.0,0.5078663114997177,0.0,0.0,0.4973916342228858,0.0
6,risk,EURACTIV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861848340952339,0.0,0.0,0.4157599903510607,0.29044976781017884,0.0,0.0
7,risk,Japan Today,0.0,0.2767082068453724,0.0,0.0,0.0,0.0,0.0,0.2251564389918541,0.9342040174634907,0.0,0.0,0.0,0.0,0.0,0.0
8,risk,ABC News (AU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,risk,Globalresearch.ca,0.03641808995256147,0.0,0.03194387442182528,0.0,0.10859973973702605,0.04981534027209907,0.1494460208162972,0.0,0.10784680425071207,0.033597831524931544,0.1219480963888617,0.0,0.9413415494587739,0.21497927868733485,0.03275115555857174
10,risk,Energycentral.com,0.07718345532495037,0.2031027937671423,0.2708037250228564,0.0,0.0,0.10557720340076009,0.21115440680152017,0.4407039681764705,0.6399887864593101,0.07120628050229114,0.20676263827901117,0.0,0.21568132767166784,0.3543718246062623,0.0
11,risk,Fortune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,risk,GlobeNewswire,0.36942310708664483,0.10801230337878905,0.8640984270303124,0.0,0.0,0.0,0.2526620397701958,0.0878892096238622,0.0,0.11360485342569748,0.0824689867589762,0.0,0.08602627971844164,0.08076807452658828,0.0
13,risk,EURACTIV,0.0,0.0,0.0,0.19634772191778382,0.0,0.20707406397508799,0.34512343995848,0.14406260499538956,0.35864094748225595,0.09310705600077389,0.3379452698082619,0.7064583310076852,0.14100900448803175,0.0,0.09076072878153434
14,risk,New York Post,0.0,0.0,0.0,0.0,0.7980996736107204,0.0,0.36609302110891034,0.0,0.31702653977210943,0.0,0.358478707816706,0.0,0.0,0.0,0.0
15,risk,GlobeNewswire,0.0,0.0,0.0,0.0,0.0,0.11440216048832141,0.0,0.0,0.0,0.7715825071514346,0.22404545456272135,0.0,0.5842740920349748,0.0,0.0
16,risk,Ponoko.com,0.2824262890473524,0.0,0.0,0.0,0.0,0.0,0.5794851559626006,0.6047266822428459,0.3345455266854545,0.26055487506304986,0.0,0.0,0.19730289585592078,0.0,0.0
17,risk,Electrek,0.0,0.3295417885669265,0.4943126828503898,0.0,0.2100646433701921,0.25695437119739883,0.0,0.33518365997633115,0.611917501367602,0.0,0.0,0.09392475643905132,0.0,0.1848154439771826,0.08446748066533269
18,risk,Desmog.com,0.0,0.0,0.0,0.6764388191638011,0.1036818617711507,0.09511896136549715,0.3804758454619886,0.09926220427405541,0.08237041803495491,0.0,0.5588435789770483,0.0,0.0,0.18243916737427654,0.12507215180043593
19,risk,Energycentral.com,0.11268286221888303,0.2470974730484641,0.049419494609692825,0.2740344976363644,0.12600876575763223,0.07706795072970185,0.34680577828365833,0.28148721300917057,0.4671711569701674,0.10395657283258547,0.45279015657792876,0.2817071555472076,0.19680050947197553,0.18477142412675523,0.20267366872469234
20,risk,OilPrice.com,0.16712121280183673,0.07329460498778201,0.0,0.16256945090930344,0.0622950031099142,0.17145050907228776,0.0,0.23855819015278443,0.5443953162102879,0.0,0.0,0.5013636384055101,0.11675081436639043,0.10961462597996113,0.5260282721194177
21,risk,EURACTIV,0.0,0.0,0.27228645923086875,0.6039388598189416,0.0,0.21231054253085976,0.0,0.0,0.18385512089746725,0.2863846277052869,0.0,0.0,0.21686224969384946,0.20360692572785505,0.5583352892640959
22,risk,GlobeNewswire,0.23304122211182482,0.0,0.2044104878631954,0.0,0.0,0.0,0.3187709128086727,0.0,0.0,0.21499424404399714,0.0,0.0,0.8140125363605366,0.30570298014759234,0.0
23,safe,Business Insider,0.0,0.0,0.0,0.0,0.0,0.5852366945330325,0.5852366945330325,0.0,0.0,0.0,0.0,0.0,0.0,0.5612450647837361,0.0
24,safe,Bulletin of the Atomic Scientists,0.04863374142531402,0.4692462300618082,0.04265874818743711,0.2838548323085692,0.10877035976022081,0.16631201560564665,0.033262403121129325,0.17355632388418588,0.7777169376774542,0.0,0.0,0.0,0.13590205149654028,0.0318988193477456,0.0
25,safe,CNET,0.0,0.0,0.0,0.0,0.26981814566999957,0.24753434530663457,0.7426030359199037,0.0,0.0,0.0,0.24238591595379888,0.0,0.5056824249967551,0.0,0.0
26,safe,Livemint,0.0,0.4631321560031019,0.0,0.5136199336391605,0.19681407044436522,0.0,0.18055954670359542,0.47106114152294337,0.15635962723592117,0.0,0.0,0.2640003572284415,0.0,0.08657877695779173,0.3561272754160075
27,safe,The Star Online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,safe,Energycentral.com,0.0,0.11777667349016846,0.03925889116338949,0.0,0.033367159117957054,0.0612228496826717,0.15305712420667925,0.31944813758476975,0.8217683473778229,0.16516639074463463,0.3297221669820989,0.0,0.1876062030163585,0.08806955174900583,0.0
29,safe,ABC News (AU),0.0,0.0,0.0,0.0,0.0,0.5825657563095398,0.0,0.0,0.5044860056416961,0.0,0.0,0.4258915426589105,0.0,0.2793418104973928,0.3830085592866466
30,safe,BroBible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412455089662911,0.4491399234899732,0.0,0.5078663114997177,0.0,0.0,0.4973916342228858,0.0
31,safe,HuffPost,0.12827950133480642,0.056259736395719594,0.3938181547700372,0.0,0.09563324488394549,0.13160259813020014,0.043867532710066715,0.6866750746152911,0.2659165816081615,0.0,0.47250652396257764,0.06413975066740321,0.08961600981864415,0.12620758302284346,0.05768152460308751
32,safe,Wattsupwiththat.com,0.20566252014992753,0.2705931746627744,0.0,0.10003051800803417,0.0,0.0,0.07033007796284411,0.0,0.12180784649172588,0.09486788999630252,0.13773458664904834,0.3084937802248913,0.14367575671329935,0.1348938285354686,0.8322947028379196
33,safe,Department of Defense,0.0,0.0,0.0,0.0,0.24802417207752442,0.11377014859949129,0.0,0.0,0.09852183587276137,0.0,0.89123088409658,0.0,0.34862777061157546,0.0,0.0
34,safe,Globalresearch.ca,0.03641808995256147,0.0,0.03194387442182528,0.0,0.10859973973702605,0.04981534027209907,0.1494460208162972,0.0,0.10784680425071207,0.033597831524931544,0.1219480963888617,0.0,0.9413415494587739,0.21497927868733485,0.03275115555857174
35,safe,Thekurzweillibrary.com,0.0,0.13645421173663438,0.27290842347326877,0.15132959840621538,0.1159760059544836,0.05319887703240825,0.212795508129633,0.49964528113014645,0.7371003513483079,0.0,0.0,0.07778332853129635,0.0,0.15305400771374936,0.0
36,safe,OilPrice.com,0.16712121280183673,0.07329460498778201,0.0,0.16256945090930344,0.0622950031099142,0.17145050907228776,0.0,0.23855819015278443,0.5443953162102879,0.0,0.0,0.5013636384055101,0.11675081436639043,0.10961462597996113,0.5260282721194177
37,safe,Desmog.com,0.0,0.0,0.0,0.6764388191638011,0.1036818617711507,0.09511896136549715,0.3804758454619886,0.09926220427405541,0.08237041803495491,0.0,0.5588435789770483,0.0,0.0,0.18243916737427654,0.12507215180043593
38,safe,Crikey,0.0,0.0,0.0,0.0,0.07253149164458178,0.06654124485872727,0.2661649794349091,0.06943968421224575,0.0,0.4487857599709883,0.7167298994485014,0.0,0.0,0.44669382390535056,0.0
39,safe,Investing.com,0.5894522481867454,0.019149405244468617,0.07659762097787447,0.021236953909172063,0.6998499706303006,0.20903973261516165,0.13438268525260394,0.046745399525492205,0.03879057621463865,0.08056361388231807,0.13158768013761538,0.0,0.0,0.2577474023585959,0.01963334634158272
40,safe,GlobeNewswire,0.0,0.0,0.0,0.1276238547547334,0.0,0.0,0.8075751530836185,0.18727821026840102,0.23311266228869737,0.4841484800789978,0.0878642799779841,0.0,0.0,0.0,0.0
41,safe,Freerepublic.com,0.0,0.06449302673495995,0.0,0.0,0.23981261233213216,0.38344062425482034,0.17600553244483552,0.0,0.7185324558729067,0.0,0.37546550079250757,0.0,0.3210337494108164,0.0,0.0
42,safe,LancasterOnline,0.0,0.09662760114071367,0.09662760114071367,0.10716133924691727,0.0,0.0,0.0,0.5503786382211711,0.26098219265020445,0.0,0.5902127894508004,0.33048520887983746,0.07695894619617395,0.21676489750123792,0.29720868117822147
43,safe,Wattsupwiththat.com,0.0,0.2680626478679278,0.029784738651991976,0.3633485349864744,0.15188897359606082,0.11612061136287649,0.18579297818060236,0.048471462177723294,0.12066872677906493,0.21928831569410914,0.0454821745425911,0.44143495565173757,0.28466426639913045,0.4454411054938125,0.4275243617520694
44,safe,Philippine Star,0.0,0.0,0.47759175048482694,0.0,0.0,0.37239370602605887,0.0,0.19430731574062116,0.1612413802600622,0.0,0.18232417287132863,0.5444855905730136,0.0,0.0,0.48966138255703107
45,safe,Breitbart News,0.0,0.0,0.1211136508036381,0.0,0.0,0.0,0.09443622346350734,0.3941989092284289,0.32711674276767844,0.06369227447704057,0.13870808813458632,0.0,0.8199170839302036,0.13584725167822498,0.0
46,safe,Investing.com,0.15036950175720137,0.0,0.19784334463702277,0.21941099149836746,0.8407611836842317,0.10284322854848303,0.2828188785083283,0.0,0.022264855518796072,0.0,0.12588025977006617,0.0,0.052524037767839524,0.2712247903681492,0.0
47,safe,Nation.africa,0.1373436770255819,0.3614101544522384,0.0,0.0,0.0,0.0,0.0,0.4901301646697851,0.6507568813431036,0.0,0.36792264473251585,0.1373436770255819,0.09594823943639405,0.09008357189055942,0.12351455381406376
48,safe,Popular Mechanics,0.0,0.0,0.0,0.0,0.25820487730950176,0.4737603922158592,0.0,0.4943967023397853,0.0,0.0,0.0,0.0,0.0,0.681508057778194,0.0
49,safe,Thenewatlantis.com,0.0,0.07093336571499281,0.0,0.0,0.6028812405154182,0.22123614080597204,0.663708422417916,0.0,0.14368833359579455,0.0,0.0,0.0,0.22597920309018418,0.2652082767089358,0.0
